#year	age	fj	cv
2010	8	6.7621035	0.172
2010	9	2.2642139	0.198
2010	10	1.2395454	0.194
2010	11	0.5484647	0.168
2010	12	0.0698315	0.212
2010	13	0.1058001	0.258
2010	14	0.0274266	0.296
2012	1	9.6769217	0.169
2012	2	10.7937233	0.102
2012	3	24.8465675	0.125
2012	4	21.5816355	0.131
2012	5	12.8130871	0.137
2012	6	11.1341971	0.13
2012	7	9.5878241	0.116
2012	8	5.4055144	0.114
2012	9	3.2477866	0.14
2012	10	1.4343642	0.146
2012	11	0.5533457	0.173
2012	12	0.1609151	0.169
2012	13	0.1111662	0.171
2012	14	0.1233552	0.364
2013	1	8.0992219	0.287
2013	2	28.8227649	0.336
2013	3	14.0703494	0.135
2013	4	26.0475381	0.134
2013	5	21.290099	0.113
2013	6	12.6171749	0.103
2013	7	7.8757491	0.109
2013	8	6.0142316	0.124
2013	9	3.0606744	0.126
2013	10	1.8715136	0.136
2013	11	0.9891507	0.123
2013	12	0.4585718	0.124
2013	13	0.2108783	0.128
2013	14	0.0780096	0.174
2014	1	4.0305614	0.244
2014	2	20.3585485	0.231
2014	3	30.5206824	0.239
2014	4	15.9178614	0.142
2014	5	24.2638671	0.125
2014	6	19.8504976	0.103
2014	7	8.4630816	0.091
2014	8	5.7189826	0.111
2014	9	3.6760278	0.154
2014	10	2.1120505	0.209
2014	11	1.3751619	0.246
2014	12	0.6929079	0.265
2014	13	0.313184	0.213
2014	14	0.1124386	0.165
2015	1	18.8518214	0.17
2015	2	12.8391155	0.237
2015	3	34.9551916	0.212
2015	4	43.5895196	0.192
2015	5	18.9815816	0.15
2015	6	27.6057301	0.143
2015	7	16.1354548	0.138
2015	8	5.3869329	0.139
2015	9	3.0989452	0.159
2015	10	1.0971908	0.17
2015	11	0.5784646	0.158
2015	12	0.466931	0.183
2015	13	0.1898584	0.186
2015	14	0.0785112	0.159
2016	1	12.0009401	0.135
2016	2	18.442992	0.126
2016	3	8.6578533	0.116
2016	4	17.9092961	0.127
2016	5	22.2374658	0.122
2016	6	10.9966324	0.111
2016	7	11.9605489	0.117
2016	8	6.7140361	0.124
2016	9	2.6739464	0.134
2016	10	1.5271528	0.14
2016	11	0.7603868	0.145
2016	12	0.4642036	0.146
2016	13	0.172715	0.162
2016	14	0	0.5
2017	1	6.0721514	0.168
2017	2	25.9573839	0.165
2017	3	32.3378912	0.136
2017	4	16.8562897	0.238
2017	5	31.308006	0.288
2017	6	31.9874954	0.276
2017	7	12.1293709	0.18
2017	8	9.7419596	0.192
2017	9	4.3700825	0.298
2017	10	1.5255428	0.369
2017	11	0.9708495	0.459
2017	12	0.4601706	0.432
2017	13	0.3478348	0.43
2017	14	0.1883385	0.512
2018	1	8.6917181	0.126
2018	2	10.6231085	0.162
2018	3	21.8442033	0.144
2018	4	20.9957478	0.148
2018	5	8.4036839	0.158
2018	6	13.4317471	0.152
2018	7	12.8722931	0.184
2018	8	7.4211746	0.323
2018	9	4.9934049	0.403
2018	10	2.3058495	0.434
2018	11	0.8512881	0.437
2018	12	0.3953765	0.347
2018	13	0.1429428	0.464
2018	14	0.0704455	0.346
2019	1	8.2955447	0.234
2019	2	20.0529108	0.138
2019	3	19.3768561	0.269
2019	4	26.6036459	0.247
2019	5	18.0119905	0.157
2019	6	9.0664623	0.107
2019	7	8.6581017	0.097
2019	8	5.3019938	0.105
2019	9	2.4649165	0.147
2019	10	1.6785523	0.163
2019	11	0.7371866	0.173
2019	12	0.2641019	0.196
2019	13	0.1554357	0.198
2019	14	0.0227732	0.212
2020	1	17.9113672	0.247
2020	2	9.3360424	0.114
2020	3	14.9944267	0.114
2020	4	8.7835096	0.148
2020	5	12.7862919	0.179
2020	6	11.5082485	0.279
2020	7	4.0070589	0.332
2020	8	4.0418011	0.298
2020	9	2.3419199	0.277
2020	10	1.4925045	0.309
2020	11	0.9043043	0.352
2020	12	0.3604935	0.388
2020	13	0.1675442	0.32
2020	14	0.1074884	0.324
