#year	age	fj	cv
1999	14	0	0.5
2000	1	18.79	0.074
2000	2	27.69	0.074
2000	3	55.16	0.082
2000	4	7.01	0.083
2000	5	30.86	0.089
2000	6	8.71	0.088
2000	7	8.85	0.084
2000	8	4.6	0.096
2000	9	0.56	0.102
2000	10	0.35	0.084
2000	11	0.08	0.141
2000	12	0.03	0.293
2000	13	0.04	0.12
2000	14	0.01	0.527
2001	1	12.24	0.092
2001	2	23.59	0.119
2001	3	36.46	0.098
2001	4	38.18	0.147
2001	5	5.07	0.169
2001	6	15.7	0.193
2001	7	3.53	0.143
2001	8	2.15	0.113
2001	9	0.9	0.098
2001	10	0.34	0.162
2001	11	0.12	0.165
2001	12	0.09	0.181
2001	13	0.05	0.444
2001	14	0.02	0.33
2002	1	0.96	0.17
2002	2	38.56	0.092
2002	3	41.31	0.129
2002	4	40.59	0.156
2002	5	37.26	0.18
2002	6	7.47	0.15
2002	7	8.99	0.15
2002	8	1.66	0.102
2002	9	0.81	0.136
2002	10	0.35	0.109
2002	11	0.07	0.266
2002	12	0.01	0.503
2002	13	0	0.5
2002	14	0	0.5
2003	1	11.16	0.095
2003	2	4.2	0.107
2003	3	46.55	0.071
2003	4	36.9	0.122
2003	5	29.21	0.109
2003	6	17.76	0.096
2003	7	4.13	0.099
2003	8	4.79	0.15
2003	9	1.13	0.194
2003	10	0.23	0.194
2003	11	0.13	0.358
2003	12	0.01	0.404
2003	13	0.09	0.651
2003	14	0	0.5
2004	1	7.34	0.112
2004	2	27.62	0.102
2004	3	8.24	0.101
2004	4	66.84	0.155
2004	5	41.29	0.153
2004	6	30.95	0.171
2004	7	17.6	0.159
2004	8	3.27	0.137
2004	9	3.56	0.17
2004	10	0.57	0.205
2004	11	0.32	0.181
2004	12	0.01	0.37
2004	13	0	0.5
2004	14	0.01	0.571
2005	1	2.69	0.119
2005	2	17.79	0.123
2005	3	41.72	0.063
2005	4	9.95	0.085
2005	5	46.31	0.114
2005	6	24.99	0.109
2005	7	12.1	0.111
2005	8	6.45	0.114
2005	9	1.01	0.143
2005	10	1.03	0.168
2005	11	0.27	0.156
2005	12	0.24	0.183
2005	13	0.03	0.247
2005	14	0	0.5
2006	1	9.09	0.084
2006	2	7.43	0.099
2006	3	25.05	0.077
2006	4	40.53	0.097
2006	5	11.74	0.098
2006	6	31.64	0.099
2006	7	11.66	0.105
2006	8	4.11	0.135
2006	9	1.62	0.116
2006	10	0.28	0.18
2006	11	0.16	0.124
2006	12	0.02	0.226
2006	13	0	0.5
2006	14	0	0.5
2007	1	5.65	0.093
2007	2	19.04	0.119
2007	3	9.07	0.095
2007	4	22.77	0.09
2007	5	29.88	0.101
2007	6	10.06	0.087
2007	7	11.37	0.076
2007	8	6.1	0.086
2007	9	2.44	0.1
2007	10	0.86	0.154
2007	11	0.3	0.118
2007	12	0.13	0.146
2007	13	0.01	0.153
2007	14	0	0.511
2008	1	6.75	0.103
2008	2	12.41	0.09
2008	3	23	0.071
2008	4	9.84	0.088
2008	5	22.36	0.096
2008	6	22.94	0.092
2008	7	9.44	0.089
2008	8	8	0.084
2008	9	3.03	0.09
2008	10	0.77	0.083
2008	11	0.44	0.086
2008	12	0.09	0.14
2008	13	0.05	0.107
2008	14	0	0.5
2009	1	22.14	0.096
2009	2	12.75	0.093
2009	3	16.46	0.088
2009	4	22.41	0.101
2009	5	15.49	0.127
2009	6	25.86	0.123
2009	7	16.6	0.113
2009	8	4.81	0.099
2009	9	3.15	0.085
2009	10	1.16	0.094
2009	11	0.28	0.086
2009	12	0.11	0.091
2009	13	0.07	0.11
2009	14	0.03	0.302
2010	1	18.62	0.08
2010	2	21.51	0.091
2010	3	18.89	0.119
2010	4	18.1	0.103
2010	5	24.64	0.106
2010	6	14.14	0.094
2010	7	18.35	0.089
2010	8	9.87	0.088
2010	9	3.24	0.083
2010	10	1.93	0.09
2010	11	0.58	0.087
2010	12	0.26	0.117
2010	13	0.05	0.14
2010	14	0.02	0.201
2011	1	3.55	0.106
2011	2	22.96	0.109
2011	3	27.54	0.094
2011	4	20.1	0.122
2011	5	23.07	0.138
2011	6	26.66	0.129
2011	7	14.7	0.109
2011	8	13.37	0.132
2011	9	5.02	0.101
2011	10	1.01	0.086
2011	11	1.01	0.084
2011	12	0.21	0.079
2011	13	0.07	0.083
2011	14	0.02	0.289
2012	1	20.36	0.085
2012	2	11.03	0.149
2012	3	39.37	0.084
2012	4	56.7	0.315
2012	5	41.89	0.406
2012	6	31.2	0.326
2012	7	28.41	0.228
2012	8	10.88	0.159
2012	9	7.06	0.104
2012	10	3.21	0.13
2012	11	0.97	0.117
2012	12	0.48	0.149
2012	13	0.36	0.164
2012	14	0.13	0.142
2013	1	10.89	0.06
2013	2	33.7	0.14
2013	3	18.22	0.082
2013	4	44.39	0.11
2013	5	47.1	0.126
2013	6	25.89	0.115
2013	7	17.15	0.101
2013	8	14.44	0.108
2013	9	7.19	0.132
2013	10	3.47	0.153
2013	11	1.68	0.143
2013	12	0.71	0.153
2013	13	0.16	0.226
2013	14	0.25	0.344
2014	1	3.29	0.131
2014	2	24.25	0.351
2014	3	39.05	0.111
2014	4	23.75	0.129
2014	5	47.55	0.131
2014	6	38.29	0.116
2014	7	17.83	0.104
2014	8	8.45	0.125
2014	9	4.37	0.185
2014	10	2.24	0.297
2014	11	0.84	0.311
2014	12	0.52	0.336
2014	13	0.12	0.169
2014	14	0.12	0.259
2015	1	21.06	0.081
2015	2	10.98	0.145
2015	3	28.05	0.078
2015	4	42.23	0.085
2015	5	21.22	0.09
2015	6	41.98	0.104
2015	7	29.41	0.134
2015	8	17.09	0.184
2015	9	5.13	0.168
2015	10	3.18	0.176
2015	11	1.48	0.184
2015	12	0.6	0.222
2015	13	0.17	0.183
2015	14	0.1	0.192
2016	1	31.71	0.067
2016	2	31.65	0.144
2016	3	15.21	0.078
2016	4	37.62	0.088
2016	5	54.8	0.11
2016	6	28.19	0.086
2016	7	38.46	0.077
2016	8	19.05	0.071
2016	9	7	0.081
2016	10	2.33	0.091
2016	11	1.24	0.111
2016	12	0.85	0.115
2016	13	0.26	0.112
2016	14	0.12	0.084
2017	1	3.83	0.095
2017	2	24.95	0.153
2017	3	33.72	0.083
2017	4	18.16	0.1
2017	5	36.43	0.111
2017	6	40.35	0.103
2017	7	23.63	0.107
2017	8	22.55	0.139
2017	9	11.86	0.157
2017	10	5.15	0.185
2017	11	2.09	0.177
2017	12	0.88	0.184
2017	13	0.54	0.191
2017	14	0.09	0.142
2018	1	11.48	0.078
2018	2	14.52	0.274
2018	3	29.97	0.1
2018	4	36.88	0.085
2018	5	16.11	0.091
2018	6	28.81	0.084
2018	7	26.66	0.074
2018	8	15.32	0.109
2018	9	7.85	0.119
2018	10	3.72	0.154
2018	11	1.24	0.18
2018	12	0.59	0.176
2018	13	0.25	0.173
2018	14	0.1	0.168
2019	1	7.99	0.117
2019	2	22.09	0.183
2019	3	14.63	0.108
2019	4	30.72	0.078
2019	5	31.46	0.12
2019	6	14.13	0.139
2019	7	20.34	0.127
2019	8	17.31	0.104
2019	9	9.43	0.098
2019	10	5.98	0.107
2019	11	2.56	0.111
2019	12	0.95	0.128
2019	13	0.38	0.118
2019	14	0.04	0.141
2020	1	29.47	0.071
2020	2	13.38	0.132
2020	3	19.48	0.099
2020	4	10.74	0.081
2020	5	17.49	0.088
2020	6	15.85	0.087
2020	7	7.85	0.082
2020	8	9.73	0.087
2020	9	6.91	0.126
2020	10	4.48	0.203
2020	11	3.27	0.209
2020	12	2.02	0.224
2020	13	0.51	0.209
2020	14	0.03	0.155
2021	1	19.23	0.073
2021	2	40.3	0.097
2021	3	26.9	0.097
2021	4	34.21	0.083
2021	5	18.08	0.092
2021	6	33.56	0.123
2021	7	21.4	0.121
2021	8	6.79	0.139
2021	9	6.01	0.173
2021	10	5.3	0.214
2021	11	3.19	0.283
2021	12	2.48	0.321
2021	13	1.17	0.329
2021	14	0.38	0.312
