#year	age	fj
1992	18	0.152
1992	19	0.037
1992	20	0.037
1992	21	0.028
1992	22	0.017
1992	23	0.001
1992	24	0
1992	25	0
1993	2	2.678
1993	3	3.797
1993	4	4.92
1993	5	5.158
1993	6	5.537
1993	7	4.255
1993	8	4.024
1993	9	3.224
1993	10	3.241
1993	11	2.766
1993	12	2.459
1993	13	1.347
1993	14	1.206
1993	15	0.601
1993	16	0.378
1993	17	0.236
1993	18	0.055
1993	19	0.064
1993	20	0.01
1993	21	0.003
1993	22	0.002
1993	23	0.013
1993	24	0
1993	25	0
1994	2	1.673
1994	3	2.975
1994	4	5.826
1994	5	5.019
1994	6	5.345
1994	7	5.499
1994	8	4.035
1994	9	3.915
1994	10	3.749
1994	11	2.96
1994	12	2.388
1994	13	1.483
1994	14	0.982
1994	15	0.646
1994	16	0.485
1994	17	0.223
1994	18	0.127
1994	19	0.069
1994	20	0.051
1994	21	0.002
1994	22	0.001
1994	23	0.001
1994	24	0
1994	25	0
1995	2	2.64
1995	3	3.128
1995	4	3.87
1995	5	5.054
1995	6	4.515
1995	7	4.526
1995	8	4.213
1995	9	3.703
1995	10	3.436
1995	11	2.467
1995	12	2.103
1995	13	1.172
1995	14	0.729
1995	15	0.42
1995	16	0.286
1995	17	0.176
1995	18	0.076
1995	19	0.044
1995	20	0.023
1995	21	0.003
1995	22	0.002
1995	23	0.001
1995	24	0
1995	25	0
1996	2	1.503
1996	3	3.951
1996	4	3.958
1996	5	4.349
1996	6	5.872
1996	7	6.285
1996	8	6.581
1996	9	5.536
1996	10	4.274
1996	11	2.486
1996	12	1.834
1996	13	1.422
1996	14	0.671
1996	15	0.524
1996	16	0.262
1996	17	0.248
1996	18	0.11
1996	19	0.074
1996	20	0.024
1996	21	0.007
1996	22	0.003
1996	23	0.002
1996	24	0.001
1996	25	0
1997	2	1.534
1997	3	4.058
1997	4	6.446
1997	5	5.785
1997	6	4.245
1997	7	6.478
1997	8	6.079
1997	9	5.407
1997	10	3.669
1997	11	3.375
1997	12	1.986
1997	13	1.39
1997	14	0.884
1997	15	0.601
1997	16	0.338
1997	17	0.296
1997	18	0.198
1997	19	0.298
1997	20	0.048
1997	21	0.038
1997	22	0.021
1997	23	0.002
1997	24	0.028
1997	25	0
1998	2	2.061
1998	3	4.329
1998	4	5.568
1998	5	5.169
1998	6	5.425
1998	7	4.325
1998	8	6.281
1998	9	5.621
1998	10	4.418
1998	11	3.767
1998	12	2.329
1998	13	1.754
1998	14	1.159
1998	15	0.886
1998	16	0.796
1998	17	0.444
1998	18	0.28
1998	19	0.048
1998	20	0.055
1998	21	0.023
1998	22	0.044
1998	23	0.027
1998	24	0
1998	25	0
1999	2	2.359
1999	3	3.348
1999	4	3.95
1999	5	5.94
1999	6	5.604
1999	7	4.733
1999	8	3.759
1999	9	5.074
1999	10	4.184
1999	11	2.926
1999	12	2.05
