#year	age	fj
1994	10	3.48
1994	11	0.38
1994	12	0.16
1994	13	0
1994	14	0.04
1995	1	0.05
1995	2	0.49
1995	3	1.98
1995	4	1.12
1995	5	0.52
1995	6	0.29
1995	7	0.34
1995	8	0.1
1995	9	0.15
1995	10	0.15
1995	11	0.34
1995	12	0.02
1995	13	0
1995	14	0
1996	1	0.03
1996	2	0.13
1996	3	0.49
1996	4	3.78
1996	5	1.16
1996	6	1.03
1996	7	0.59
1996	8	0.98
1996	9	0.06
1996	10	0.09
1996	11	0.11
1996	12	0.26
1996	13	0.02
1996	14	0
1997	1	0.23
1997	2	0.32
1997	3	0.91
1997	4	4.73
1997	5	3.98
1997	6	0.95
1997	7	0.4
1997	8	0.16
1997	9	0.1
1997	10	0.05
1997	11	0.02
1997	12	0.02
1997	13	0.02
1997	14	0
1998	1	0.01
1998	2	0.13
1998	3	1.66
1998	4	2.36
1998	5	2.55
1998	6	1.27
1998	7	0.72
1998	8	0.3
1998	9	0.09
1998	10	0.07
1998	11	0.04
1998	12	0.03
1998	13	0.04
1998	14	0.03
1999	1	0.57
1999	2	0.73
1999	3	3.74
1999	4	0.94
1999	5	1.27
1999	6	1.7
1999	7	0.59
1999	8	0.16
1999	9	0.02
1999	10	0.02
1999	11	0.02
1999	12	0
1999	13	0
1999	14	0.02
2000	1	0
2000	2	0.38
2000	3	2.01
2000	4	2.55
2000	5	0.61
2000	6	0.86
2000	7	0.54
2000	8	0.45
2000	9	0.08
2000	10	0.03
2000	11	0.01
2000	12	0
2000	13	0.01
2000	14	0.01
2001	1	0
2001	2	0.92
2001	3	2.06
2001	4	2.73
2001	5	1.68
2001	6	0.22
2001	7	0.23
2001	8	0.39
2001	9	0.14
2001	10	0.07
2001	11	0.04
2001	12	0.01
2001	13	0
2001	14	0
2002	1	0.02
2002	2	1.02
2002	3	2.23
2002	4	3.01
2002	5	3.11
2002	6	2.19
2002	7	0.42
2002	8	0.47
2002	9	0.32
2002	10	0.22
2002	11	0.02
2002	12	0.03
2002	13	0
2002	14	0
2003	1	0.01
2003	2	0.05
2003	3	9.79
2003	4	5.14
2003	5	2.98
2003	6	1.37
2003	7	0.78
2003	8	0.21
2003	9	0.05
2003	10	0.1
2003	11	0.02
2003	12	0.03
2003	13	0
2003	14	0
2004	1	0.01
2004	2	0.9
2004	3	1.39
2004	4	9.6
2004	5	6.27
2004	6	4.52
2004	7	1.52
2004	8	0.84
2004	9	0.17
2004	10	0.17
2004	11	0.12
2004	12	0.06
2004	13	0.02
2004	14	0
2005	1	0
2005	2	0.25
2005	3	4.29
2005	4	2.41
2005	5	7.5
2005	6	4.72
2005	7	2.36
2005	8	0.88
2005	9	0.45
2005	10	0.13
2005	11	0.05
2005	12	0.08
2005	13	0.03
2005	14	0
2006	1	0.01
2006	2	0
2006	3	2.19
2006	4	6.76
2006	5	1.98
2006	6	8.85
2006	7	3.5
2006	8	1.21
2006	9	0.29
