#year	age	ind
2012	10	3.21
2012	11	0.97
2012	12	0.48
2012	13	0.36
2012	14	0.13
2013	1	10.89
2013	2	33.7
2013	3	18.22
2013	4	44.39
2013	5	47.1
2013	6	25.89
2013	7	17.15
2013	8	14.44
2013	9	7.19
2013	10	3.47
2013	11	1.68
2013	12	0.71
2013	13	0.16
2013	14	0.25
2014	1	3.29
2014	2	24.25
2014	3	39.05
2014	4	23.75
2014	5	47.55
2014	6	38.29
2014	7	17.83
2014	8	8.45
2014	9	4.37
2014	10	2.24
2014	11	0.84
2014	12	0.52
2014	13	0.12
2014	14	0.12
2015	1	21.06
2015	2	10.98
2015	3	28.05
2015	4	42.23
2015	5	21.22
2015	6	41.98
2015	7	29.41
2015	8	17.09
2015	9	5.13
2015	10	3.18
2015	11	1.48
2015	12	0.6
2015	13	0.17
2015	14	0.1
2016	1	31.71
2016	2	31.65
2016	3	15.21
2016	4	37.62
2016	5	54.8
2016	6	28.19
2016	7	38.46
2016	8	19.05
2016	9	7
2016	10	2.33
2016	11	1.24
2016	12	0.85
2016	13	0.26
2016	14	0.12
2017	1	3.83
2017	2	24.95
2017	3	33.72
2017	4	18.16
2017	5	36.46
2017	6	40.35
2017	7	23.62
2017	8	22.54
2017	9	11.85
2017	10	5.15
2017	11	2.09
2017	12	0.88
2017	13	0.54
2017	14	0.09
2018	1	11.48
2018	2	14.52
2018	3	29.97
2018	4	36.88
2018	5	16.11
2018	6	28.81
2018	7	26.66
2018	8	15.32
2018	9	7.85
2018	10	3.72
2018	11	1.24
2018	12	0.59
2018	13	0.25
2018	14	0.1
2019	1	8
2019	2	22.07
2019	3	14.6
2019	4	30.68
2019	5	31.49
2019	6	14.17
2019	7	20.33
2019	8	17.27
2019	9	9.4
2019	10	5.95
2019	11	2.55
2019	12	0.95
2019	13	0.38
2019	14	0.04
