#year	age	ind
2013	13	44.637
2013	14	31.096
2013	15	11.598
2014	2	152.422
2014	3	90.269
2014	4	330.084
2014	5	260.919
2014	6	259.079
2014	7	187.905
2014	8	111.955
2014	9	91.629
2014	10	37.855
2014	11	76.68
2014	12	30.366
2014	13	10.619
2014	14	22.799
2014	15	10.108
2015	2	381.900049289809
2015	3	164.220614683693
2015	4	174.507285207225
2015	5	312.350338639356
2015	6	225.835510985003
2015	7	215.207071804005
2015	8	93.7430692229023
2015	9	62.7529422056548
2015	10	75.3392296056454
2015	11	41.9606402698487
2015	12	15.6956941871614
2015	13	26.7555791160729
2015	14	20.1588247948144
2015	15	5.40143447365295
2016	1	519.006278935
2016	2	97.0364323251915
2016	3	220.641906653185
2016	4	137.217189177588
2016	5	151.936733295577
2016	6	262.488080309703
2016	7	136.801259931801
2016	8	241.381779098233
2016	9	61.2201652484746
2016	10	55.869030085046
2016	11	62.8051953396953
2016	12	11.4347587141079
2016	13	20.1351418896109
2016	14	13.7331906339111
2016	15	0
2017	1	228.5
2017	2	32.7490101584966
2017	3	22.9465076795378
2017	4	95.0969063225548
2017	5	171.664035607204
2017	6	201.944337769835
2017	7	319.932620336823
2017	8	209.173601124282
2017	9	255.348287768732
2017	10	75.8129778723462
2017	11	34.50527266813
2017	12	83.4598989968511
2017	13	54.9028901603811
2017	14	25.370388819534
2017	15	28.1148010429267
2018	2	306.295066730194
2018	3	137.402005195786
2018	4	67.9327153576412
2018	5	201.361657318827
2018	6	101.946159994183
2018	7	110.810222036633
2018	8	167.39720678192
2018	9	163.804373118014
2018	10	73.345532658813
2018	11	30.0401408466928
2018	12	29.9502560689034
2018	13	38.499324084323
2018	14	9.13805061321051
2018	15	7.27055752121556
2019	2	1525.36958716785
2019	3	229.84082536996
2019	4	158.604662024192
2019	5	103.631440530147
2019	6	211.106371492868
2019	7	98.7854717498708
2019	8	53.7231839506729
2019	9	59.527150569331
2019	10	42.2208547756804
2019	11	37.186431645563
2019	12	21.3411918253032
2019	13	15.0888248989673
2019	14	10.3932416666144
2019	15	0.986017616530316
2020	2	1399.8
2020	3	1114.7
2020	4	424.3
2020	5	138.2
2020	6	82
2020	7	127.7
2020	8	66.5
2020	9	102.8
2020	10	82.8
2020	11	63.5
2020	12	57
2020	13	22.8
2020	14	11.1
2020	15	19.7
