#year	age	ind
2009	11	29.922
2009	12	26.281
2009	13	17.79
2009	14	9.881
2009	15	0.974
2010	3	151.066
2010	4	315.941
2010	5	490.653
2010	6	554.818
2010	7	271.445
2010	8	327.275
2010	9	149.143
2010	10	83.875
2010	11	156.92
2010	12	36.666
2010	13	13.649
2010	14	8.507
2010	15	1.458
2011	3	106.178
2011	4	280.582
2011	5	228.857
2011	6	304.885
2011	7	296.254
2011	8	138.686
2011	9	301.285
2011	10	60.997
2011	11	141.323
2011	12	97.412
2011	13	37.006
2011	14	0
2011	15	4.018
2012	3	704.863
2012	4	977.323
2012	5	434.876
2012	6	313.742
2012	7	272.14
2012	8	239.32
2012	9	154.581
2012	10	175.088
2012	11	84.582
2012	12	92.435
2012	13	89.376
2012	14	17.638
2012	15	6.808
2013	3	178.5
2013	4	781.1
2013	5	631.4
2013	6	166.6
2013	7	127
2013	8	142
2013	9	110.1
2013	10	97
2013	11	74.3
2013	12	69.5
2013	13	43.4
2013	14	38.5
2013	15	7.5
2014	3	15.919
2014	4	314.865
2014	5	218.715
2014	6	344.981
2014	7	151.631
2014	8	132.767
2014	9	120.756
2014	10	118.377
2014	11	89.555
2014	12	74.602
2014	13	48.695
2014	14	44.637
2014	15	31.096
2015	3	152.422
2015	4	90.269
2015	5	330.084
2015	6	260.919
2015	7	259.079
2015	8	187.905
2015	9	111.955
2015	10	91.629
2015	11	37.855
2015	12	76.68
2015	13	30.366
2015	14	10.619
2015	15	22.799
2016	3	381.900049289809
2016	4	164.220614683693
2016	5	174.507285207225
2016	6	312.350338639356
2016	7	225.835510985003
2016	8	215.207071804005
2016	9	93.7430692229023
2016	10	62.7529422056548
2016	11	75.3392296056454
2016	12	41.9606402698487
2016	13	15.6956941871614
2016	14	26.7555791160729
2016	15	20.1588247948144
2017	2	519.006278935
2017	3	97.0364323251915
2017	4	220.641906653185
2017	5	137.217189177588
2017	6	151.936733295577
2017	7	262.488080309703
2017	8	136.801259931801
2017	9	241.381779098233
2017	10	61.2201652484746
2017	11	55.869030085046
2017	12	62.8051953396953
2017	13	11.4347587141079
2017	14	20.1351418896109
2017	15	13.7331906339111
2018	2	228.5
2018	3	32.7490101584966
2018	4	22.9465076795378
2018	5	95.0969063225548
2018	6	171.664035607204
2018	7	201.944337769835
2018	8	319.932620336823
2018	9	209.173601124282
2018	10	255.348287768732
2018	11	75.8129778723462
2018	12	34.50527266813
2018	13	83.4598989968511
2018	14	54.9028901603811
2018	15	25.370388819534
2019	3	306.295066730194
2019	4	137.402005195786
2019	5	67.9327153576412
2019	6	201.361657318827
2019	7	101.946159994183
2019	8	110.810222036633
2019	9	167.39720678192
2019	10	163.804373118014
2019	11	73.345532658813
2019	12	30.0401408466928
2019	13	29.9502560689034
2019	14	38.499324084323
2019	15	9.13805061321051
2020	3	1525.36958716785
2020	4	229.84082536996
2020	5	158.604662024192
2020	6	103.631440530147
2020	7	211.106371492868
2020	8	98.7854717498708
2020	9	53.7231839506729
2020	10	59.527150569331
2020	11	42.2208547756804
2020	12	37.186431645563
2020	13	21.3411918253032
2020	14	15.0888248989673
2020	15	10.3932416666144
2021	3	1399.8
2021	4	1114.7
2021	5	424.3
2021	6	138.2
2021	7	82
2021	8	127.7
2021	9	66.5
2021	10	102.8
2021	11	82.8
2021	12	63.5
2021	13	57
2021	14	22.8
2021	15	11.1
